time,open,high,low,close,volume
1700000000,30000,30010,29990,30000,1000
1700003600,30000,30505,29990,30495,1001
1700007200,30495,30969,30485,30959,1002
1700010800,30959,31373,30949,31363,1003
1700014400,31363,31693,31353,31683,1004
1700018000,31683,31908,31673,31898,1005
1700021600,31898,32005,31888,31995,1006
1700025200,31995,32005,31958,31968,1007
1700028800,31968,31978,31809,31819,1008
1700032400,31819,31829,31546,31556,1009
1700036000,31556,31566,31187,31197,1010
1700039600,31197,31207,30753,30763,1011
1700043200,30763,30773,30272,30282,1012
1700046800,30282,30292,29775,29785,1013
1700050400,29785,29795,29289,29299,1014
1700054000,29299,29309,28848,28858,1015
1700057600,28858,28868,28477,28487,1016
1700061200,28487,28497,28201,28211,1017
1700064800,28211,28221,28036,28046,1018
1700068400,28046,28056,27992,28002,1019
1700072000,28002,28093,27992,28083,1020
1700075600,28083,28293,28073,28283,1021
1700079200,28283,28600,28273,28590,1022
1700082800,28590,28994,28580,28984,1023
1700086400,28984,29452,28974,29442,1024
1700090000,29442,29945,29432,29935,1025
1700093600,29935,30440,29925,30430,1026
1700097200,30430,30910,30420,30900,1027
1700100800,30900,31324,30890,31314,1028
1700104400,31314,31656,31304,31646,1029
1700108000,31646,31886,31636,31876,1030
1700111600,31876,31999,31866,31989,1031
1700115200,31989,31999,31969,31979,1032
1700118800,31979,31989,31835,31845,1033
1700122400,31845,31855,31587,31597,1034
1700126000,31597,31607,31239,31249,1035
1700129600,31249,31259,30814,30824,1036
1700133200,30824,30834,30338,30348,1037
1700136800,30348,30358,29841,29851,1038
1700140400,29851,29861,29352,29362,1039
1700144000,29362,29372,28903,28913,1040
1700147600,28913,28923,28522,28532,1041
